adrenaline	0000000065
acetylcholine	0000000051
material discipline	0000001187
formal discipline	0000001187
wake amine	0000000660
catecholamine	0000000752
monoamine	0000004461
dopamine	0000003419
atropine	0000000067
endocrine	0000003463
neuron doctrine	0000003527
Anastasi Anne	0000004984
cone	0000002479
allophone	0000000140
pheromone	0000003959
hormone	0000004269
adrenocorticotropic hormone	0000000333
hydrocortisone	0000003616
pure tone	0000002173
partial tone	0000004014
fundamental tone	0000000889
combination tone	0000001230
overtone	0000002196
escape	0000003375
stroboscope	0000002543
stereoscope	0000002530
anomaloscope	0000000078
tachistoscope	0000002946
melancholic type	0000004410
true-false type	0000002334
extrapunitive type	0000000590
intropunitive type	0000003457
off type	0000000524
on type	0000000524
stereotype	0000002531
blood stereotype	0000001226
genotype	0000001258
phenotype	0000001258
somatotype	0000002878
prototype	0000004082
imagery type	0000003909
end-of-life care	0000002986
palliative care	0000000862
sanatorium type medical care facilities for the elderly requiring care	0000004792
team medical care	0000003064
health care facilities for the elderly requiring long-term care	0000004793
day care	0000003215
primary care	0000004026
social welfare	0000002033
council of social welfare	0000004871
animal welfare	0000003384
curare	0000001138
Latin-square	0000004591
Graeco-Latin square	0000001151
courseware	0000001493
timbre	0000003568
cerebral hemisphere	0000002927
Metamemory in Adulthood Questionnaire	0000002623
General Health Questionnaire	0000001697
Social Communication Questionnaire	0000000383
Cognitive Failures Questionnaire	0000001706
Sixteen Personality Factors Questionnaire	0000002131
Vividness of Visual Imagery Questionnaire	0000003947
Everyday Memory Questionnaire	0000003508
periode preoperatoire	0000002743
genre	0000001712
standard score	0000003905
academic standard score	0000000682
intelligence standard score	0000003063
ipsative score	0000000219
factor score	0000000253
T-score	0000003232	0000004186
raw score	0000002849
propensity score	0000001179
Z-score	0000002689	0000004186
precategorical acoustic store	0000002711
safe and secure	0000000120
discrete-trial procedure	0000004619
truly random control procedure	0000004607
process dissociation procedure	0000000746
strange situation procedure	0000002541
free operant procedure	0000002058
RememberKnow procedure	0000004653
tadpole figure	0000003361
random figure	0000004606
ambiguous figure	0000002945
