8900	0000006332-011
8A00	0000007161-001
800A	0000005969-011
800B	0000005969-001
8B00	0000007308-001
800C	0000005971-001
800E	0000001417-001
80E0	0000006053-001
800F	0000005972-001
8F00	0000007727-011
900	0000000634-001
9900	0000006817-001
9009	0000006383-001
9090	0000006419-011	0000007879-001
90A0	0000007890-001
90B0	0000007898-001
900B	0000007805-001
9B00	0000000565-011
900C	0000007807-001
9C00	0000009040-012
900D	0000007793-001
900E	0000007827-011
900F	0000007803-001
90F0	0000007924-001
10	0000000009-001	0000000416
101	0000000073-001	0000004690
110	0000000080-001	0000005041
1110	0000000775-001
1101	0000000769-001
1011	0000000708-002
10111	0000006964-011
11110	0000007678-001
11011	0000007609-011
11101	0000007671-001
11102	0000007672-001
1-20-11	0000000638-001
10112	0000006965-001
11012	0000007610-001
10121	0000006973-001
11021	0000007615-001
12110	0000008416-001
12101	0000008412-001
10211	0000007046-011
11210	0000007753-001
2-01-11	0000000057-011
1-21-01	0000003482-001
12011	0000008338-001
1-21-10	0000005628-001
11120	0000007687-001
11201	0000007749-001
11301	0000007804-011
10113	0000006965-002
11031	0000007622-001
1-30-11	0000001527-001
1-31-10	0000006853-001
11310	0000007811-001
11103	0000007673-001
13110	0000009146-001
1-31-01	0000002584-001
13101	0000009139-001
10311	0000007121-001
10131	0000006981-001
13011	0000009066-011
11013	0000007610-011
11130	0000007694-011
1-40-11	0000004720-001
11401	0000007862-001
11041	0000007627-001
10411	0000007190-002
10114	0000006965-011
1-14-10	0000000154-001
1-41-10	0000006037-001
11104	0000007674-001
11140	0000007703-001
11410	0000007867-001
11014	0000007610-012
1-41-01	0000009400-001
1-14-01	0000000262-001
10141	0000006989-001
1-51-10	0000000925-001
11510	0000007942-001
1-50-11	0000000641-001
10511	0000007268-001
11051	0000007633-001
10151	0000006996-011
11015	0000007611-001
11105	0000007674-011
11501	0000007935-001
10115	0000006966-001
11150	0000007711-001
1-15-10	0000000934-012
1-15-01	0000000912-001
1-51-01	0000000901-001
11601	0000008013-011
1-61-01	0000003533-001
1-61-10	0000005869-011
10611	0000007334-011
1-16-01	0000000084-001
10161	0000007005-001
11061	0000007639-013
1-16-10	0000006486-011
1-60-11	0000003322-001
11016	0000007612-001
11106	0000007675-001
11610	0000008021-001
10116	0000006967-001
11160	0000007718-001
10117	0000006969-001
10171	0000007013-002
11170	0000007726-001
10711	0000007399-012
1-70-11	0000005880-001
1-71-10	0000006101-002
1-17-10	0000007750-001
11017	0000007612-011
1-71-01	0000008432-001
1-17-01	0000008403-001
11071	0000007649-001
11710	0000008100-001
11107	0000007676-001
11701	0000008096-001
1-18-10	0000009262-011
11018	0000007613-001
10118	0000006970-001
10181	0000007022-011
11108	0000007677-001
11081	0000007657-012
1-80-11	0000008453-001
1-81-01	0000008696-001
1-81-10	0000008717-001
1-18-01	0000002535-001
11180	0000007730-012
10811	0000007465-001
11801	0000008175-001
11810	0000008184-001
11019	0000007613-011
10119	0000006971-001
11109	0000007677-011
1-19-01	0000002861-001
1-91-10	0000006498-011
1-91-01	0000006445-012
11901	0000008255-001
11910	0000008262-001
10191	0000007030-001
1-90-11	0000005734-001
11091	0000007664-001
1-19-10	0000006913-001
11190	0000007740-001
10911	0000007533-001
2110	0000001511-001
1012	0000000708-011
2101	0000001503-002
1210	0000000846-012
1102	0000000769-011
1201	0000000840-001
1120	0000000779-001
1021	0000000715-001
2011	0000001437-001
11202	0000007749-011
1-21-02	0000003627-001
12021	0000008347-001
2-01-12	0000000056-001
12210	0000008481-011
12012	0000008339-001
11220	0000007759-001
1-20-21	0000002257-001
1-22-01	0000000199-001
10122	0000006974-001
21201	0000001164-001
10212	0000007047-001
12120	0000008425-001
2-12-10	0000002028-011
1-20-12	0000000732-001
